subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Biden,3/7/2022,D,81.988036,14.41697,20:11:07  7 Mar 2022
Biden,10/30/2021,all,48.82393,43.55945,12:35:28 31 Oct 2021
Biden,4/17/2021,D,91.788072,5.9989866,09:15:08 20 Apr 2021
Trump,7/2/2020,I,35.729711,58.231368,17:35:10  2 Jul 2020
Trump,1/1/2022,R,76.792488,19.971529,09:05:59  4 Jan 2022
Trump,4/16/2020,D,17.120665,80.683463,17:45:04 16 Apr 2020
Trump,4/12/2020,D,17.781984,80.137044,06:50:08 13 Apr 2020
Biden,12/15/2021,R,16.627059,79.222985,20:24:13 15 Dec 2021
Trump,11/5/2020,I,34.541568,61.08323,20:45:14  5 Nov 2020
Trump,12/19/2020,R,80.229476,17.200626,10:15:37 21 Dec 2020
Biden,12/29/2021,D,83.399908,12.334316,00:38:11 30 Dec 2021
Trump,3/26/2020,D,20.96828,75.72034,17:45:04  2 Apr 2020
Biden,8/1/2021,all,58.242207,34.24704,10:11:13  2 Aug 2021
Trump,8/29/2020,I,33.859865,61.296254,13:40:10 29 Aug 2020
Trump,5/7/2021,R,76.809024,19.963329,21:30:19  7 May 2021
Trump,4/2/2021,D,8.770641,88.884887,15:00:12  2 Apr 2021
Biden,5/28/2022,all,49.264494,43.783617,00:06:40 31 May 2022
Trump,10/15/2020,D,6.420207,92.263963,22:40:10 15 Oct 2020
Biden,2/27/2021,all,60.052995,31.709031,09:50:56  2 Mar 2021
Trump,2/25/2020,I,38.52853,24.6117,17:45:23  2 Apr 2020
Biden,5/1/2021,I,60.571675,32.602719,20:20:10  1 May 2021
Trump,4/18/2020,D,16.861909,81.017887,17:35:04 18 Apr 2020
Trump,10/17/2021,R,76.792488,19.971529,19:15:39 17 Oct 2021
Biden,6/1/2022,all,49.125775,43.716141,09:51:13  1 Jun 2022
Trump,2/6/2022,all,38.940859,57.001143,04:21:23  7 Feb 2022
Trump,8/21/2021,all,38.940859,57.001143,14:35:27 21 Aug 2021
Trump,1/19/2021,R,78.602277,18.504907,09:50:19 19 Jan 2021
Trump,6/27/2020,D,10.871755,87.231532,10:40:07 28 Jun 2020
Biden,3/10/2022,I,42.302744,50.451727,21:41:08 10 Mar 2022
Trump,4/12/2021,I,35.918727,57.488042,10:15:16 12 Apr 2021
Trump,9/4/2021,R,76.792488,19.971529,08:10:33  5 Sep 2021
Trump,12/24/2021,R,76.792488,19.971529,08:33:18 27 Dec 2021
Trump,9/14/2021,I,35.912502,57.484054,14:55:37 14 Sep 2021
Trump,3/20/2020,R,84.4166,11.06131,17:45:30  2 Apr 2020
Biden,4/11/2022,I,44.580943,47.818368,20:04:09 11 Apr 2022
Trump,1/3/2022,I,35.912502,57.484054,09:05:35  4 Jan 2022
Biden,8/13/2021,all,55.025746,37.643814,14:15:20 13 Aug 2021
Trump,4/7/2020,all,48.40924,46.35629,23:20:05  7 Apr 2020
Biden,4/21/2021,I,59.427871,33.106491,10:20:11 21 Apr 2021
Biden,1/17/2022,I,38.318898,52.735235,21:45:18 17 Jan 2022
Biden,6/28/2022,D,81.816853,13.7725,10:52:09 29 Jun 2022
Biden,4/28/2021,D,92.410618,5.2296623,12:55:07 28 Apr 2021
Biden,10/21/2021,D,85.339988,11.071153,12:35:07 21 Oct 2021
Biden,5/30/2022,all,49.264494,43.783617,00:06:36 31 May 2022
Trump,12/24/2020,R,81.135586,16.305441,08:55:17 24 Dec 2020
Trump,10/22/2021,I,35.912502,57.484054,15:40:43 25 Oct 2021
Biden,4/3/2022,R,18.16776,78.270386,09:39:17  4 Apr 2022
Biden,1/21/2022,R,14.083,82.806565,09:19:16 21 Jan 2022
Biden,5/30/2022,R,20.104094,75.031262,00:06:30 31 May 2022
Trump,9/8/2021,R,76.792488,19.971529,09:20:19  8 Sep 2021
Trump,10/4/2021,R,76.792488,19.971529,13:20:21  4 Oct 2021
Trump,4/14/2020,I,43.395436,50.121555,19:35:05 14 Apr 2020
Biden,6/14/2022,all,48.644424,43.655712,05:06:19 15 Jun 2022
Biden,4/20/2021,all,62.395534,31.404258,09:15:55 20 Apr 2021
Trump,6/12/2020,R,83.243122,14.748514,18:00:11 12 Jun 2020
Trump,3/2/2022,I,35.912502,57.484054,15:12:14  2 Mar 2022
Trump,10/28/2021,D,9.414364,87.93452,13:53:09 28 Oct 2021
Biden,3/21/2022,I,44.844834,48.190154,10:09:13 21 Mar 2022
Trump,11/13/2020,I,35.425668,59.667745,03:35:32 16 Nov 2020
Biden,11/26/2021,R,14.884332,81.131771,17:56:29 27 Nov 2021
Trump,4/21/2020,I,42.863928,50.260858,21:40:06 21 Apr 2020
Trump,7/28/2020,R,78.048798,19.728908,07:10:11 28 Jul 2020
Trump,4/20/2020,I,43.100956,50.232875,19:15:06 20 Apr 2020
Trump,7/2/2021,I,35.912502,57.484054,07:05:14  2 Jul 2021
Trump,9/16/2021,D,9.4143635,87.934516,19:05:11 16 Sep 2021
Biden,5/29/2022,all,49.264494,43.783617,00:06:38 31 May 2022
Biden,5/8/2021,D,91.596651,6.0162183,09:10:09 10 May 2021
Biden,6/15/2022,I,43.853207,46.281507,09:28:09 15 Jun 2022
Biden,2/9/2022,all,44.112045,48.449254,12:33:18  9 Feb 2022
Biden,2/11/2021,I,49.2038,33.03566,10:56:11 12 Feb 2021
Trump,5/3/2021,all,38.952622,57.001373,10:16:14  5 May 2021
Biden,3/16/2021,R,29.560157,64.935236,10:20:16 16 Mar 2021
Biden,6/5/2021,D,90.02563,7.4532528,11:40:10  9 Jun 2021
Biden,6/2/2021,D,90.02563,7.4532528,09:30:07  2 Jun 2021
Trump,7/26/2020,R,78.349072,19.412061,09:40:16 26 Jul 2020
Biden,6/17/2021,all,61.894845,33.156354,21:00:23 17 Jun 2021
Trump,10/2/2021,all,38.940859,57.001143,10:31:23  4 Oct 2021
Biden,8/6/2021,R,24.967177,69.893218,20:55:16  6 Aug 2021
Trump,9/26/2020,R,81.554482,16.101741,01:00:22 27 Sep 2020
Trump,2/8/2022,R,76.792488,19.971529,07:59:28  9 Feb 2022
Trump,6/3/2021,R,76.792488,19.971529,11:41:37  9 Jun 2021
Trump,8/1/2020,all,37.574635,58.289169,06:35:42  4 Aug 2020
Biden,6/9/2022,all,48.644424,43.655712,11:51:39 13 Jun 2022
Trump,2/24/2020,D,23.08517,48.37065,17:45:11  2 Apr 2020
